"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 29 15:48:47 GMT 2025","Tue Apr 29 15:48:50 GMT 2025","2525","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Apr 29 15:48:45 GMT 2025","Tue Apr 29 15:48:46 GMT 2025","1497","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Apr 29 15:48:50 GMT 2025","Tue Apr 29 15:48:50 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Tue Apr 29 15:48:39 GMT 2025","Tue Apr 29 15:48:42 GMT 2025","3395","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Apr 29 15:48:50 GMT 2025","Tue Apr 29 15:48:50 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Tue Apr 29 15:48:50 GMT 2025","Tue Apr 29 15:48:50 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Tue Apr 29 15:48:51 GMT 2025","Tue Apr 29 15:48:52 GMT 2025","1313","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Apr 29 15:48:50 GMT 2025","Tue Apr 29 15:48:50 GMT 2025","1","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Apr 29 15:48:41 GMT 2025","Tue Apr 29 15:48:43 GMT 2025","1535","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Apr 29 15:48:43 GMT 2025","Tue Apr 29 15:48:44 GMT 2025","1225","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Apr 29 15:48:46 GMT 2025","Tue Apr 29 15:48:47 GMT 2025","1408","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Apr 29 15:48:48 GMT 2025","Tue Apr 29 15:48:50 GMT 2025","2585","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Apr 29 15:48:39 GMT 2025","Tue Apr 29 15:48:41 GMT 2025","1804","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Apr 29 15:48:50 GMT 2025","Tue Apr 29 15:48:50 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Tue Apr 29 15:48:43 GMT 2025","Tue Apr 29 15:48:44 GMT 2025","1195","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Apr 29 15:48:50 GMT 2025","Tue Apr 29 15:48:50 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
